,precision,recall,f1-score,support
Astringent,0.410958904109589,0.8108108108108109,0.5454545454545454,37.0
Bitter,0.6198347107438017,0.8680555555555556,0.7232401157184185,432.0
Cool,0.2,0.25,0.2222222222222222,4.0
Pungent,0.29577464788732394,0.5675675675675675,0.3888888888888889,37.0
Salty,0.1111111111111111,0.2,0.14285714285714285,5.0
Sour,0.19047619047619047,0.5454545454545454,0.2823529411764706,22.0
Sweet,0.9170731707317074,0.8209606986899564,0.8663594470046083,1145.0
Tasteless,0.36,0.7659574468085106,0.4897959183673469,47.0
Umami,0.32432432432432434,0.6666666666666666,0.43636363636363634,18.0
